request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
000a284e-c206-48ca-834b-6cdb9bb0375d,1758871615.3619354,1758871615.3620148,,1758871615.3620243,79,,,,"'""model""'"
e7963e5f-b5d8-4b72-a0d1-1c8aaa21cf91,1758871615.4173632,1758871615.4174426,,1758871615.4174526,30,,,,"'""model""'"
acdf0353-9bad-4dc5-86c5-64f4f80eb517,1758871615.4548259,1758871615.4549065,,1758871615.4549158,28,,,,"'""model""'"
12f7f4b6-c263-47b9-9a9a-e032e290604f,1758871615.5282936,1758871615.528373,,1758871615.5283825,15,,,,"'""model""'"
c284751a-622d-4da7-a836-d0cdcff75384,1758871615.5357249,1758871615.5358052,,1758871615.5358148,128,,,,"'""model""'"
6d576afe-fee7-44fc-966f-9799b1519ad3,1758871615.5871656,1758871615.5872455,,1758871615.587255,46,,,,"'""model""'"
c2e51d0c-2d3d-4b94-9f3e-f59f5bbdfc00,1758871615.5885894,1758871615.588668,,1758871615.588678,41,,,,"'""model""'"
59c2b799-d3b0-4dec-8f6c-8f9092482ca1,1758871615.624011,1758871615.6240904,,1758871615.6241002,63,,,,"'""model""'"
980d982b-7f1d-4bf3-9fb5-7012bcbcea04,1758871615.6384256,1758871615.6385055,,1758871615.6385152,48,,,,"'""model""'"
0063c657-766e-46f3-b8ef-553bcacca58b,1758871615.6528573,1758871615.6529372,,1758871615.6529467,120,,,,"'""model""'"
8a31d239-9688-4151-b72b-68c78b3f3f94,1758871615.7110894,1758871615.7111688,,1758871615.7111778,69,,,,"'""model""'"
4a317dc1-40b5-402c-b05e-d9cbec4db5c9,1758871615.7575336,1758871615.7576158,,1758871615.7576253,86,,,,"'""model""'"
40cfc251-22ea-45dc-8731-15d55ce834af,1758871615.7639692,1758871615.76405,,1758871615.7640593,126,,,,"'""model""'"
2ed9cab9-cb04-4ddc-b4a9-c48ec4b355d2,1758871615.799402,1758871615.7994826,,1758871615.7994924,121,,,,"'""model""'"
3b51e805-7659-4001-82d8-b7a771788981,1758871615.826828,1758871615.8269079,,1758871615.8269176,21,,,,"'""model""'"
804c8c74-b83a-4ac7-a593-926401531917,1758871615.832267,1758871615.8323472,,1758871615.8323562,103,,,,"'""model""'"
0338ca9d-a367-4a7c-957f-07a7e5ef706a,1758871615.843701,1758871615.8437805,,1758871615.84379,119,,,,"'""model""'"
32dfe921-9b0a-4a9b-a2a6-e5bbfde03c54,1758871615.8631284,1758871615.8632085,,1758871615.8632174,72,,,,"'""model""'"
74293479-2ff8-416d-a44c-efae98a1d930,1758871615.8775773,1758871615.8776581,,1758871615.8776677,126,,,,"'""model""'"
b5e5ae75-78b1-4013-811c-e79e15978f73,1758871615.931008,1758871615.9310896,,1758871615.9310987,47,,,,"'""model""'"
916cf77e-3454-4ec9-8199-97b4a53a7e87,1758871615.951445,1758871615.9515254,,1758871615.9515347,99,,,,"'""model""'"
2b6fe275-6a6d-4ab8-be66-2fc585fea0c1,1758871615.9568796,1758871615.9569602,,1758871615.9569695,94,,,,"'""model""'"
9a2c2acf-475a-4a39-a45d-5fbe81c5e18b,1758871615.9883137,1758871615.9883955,,1758871615.9884048,84,,,,"'""model""'"
fa6b6fab-1904-4997-8a07-2a895a7c1b0a,1758871615.9937158,1758871615.9937944,,1758871615.993804,17,,,,"'""model""'"
